Component,Origin,License,Copyright
Com.fasterxml.jackson.core:jackson-annotations,maven,Apache 2.0,
Com.fasterxml.jackson.core:jackson-core,maven,Apache 2.0,
Com.fasterxml.jackson.core:jackson-databind,maven,Apache 2.0,
Com.google.inject:guice,maven,Apache 2.0,
Commons-cli:commons-cli,maven,Apache 2.0,
Ch.qos.logback:logback-classic,maven,EPL 1.0,"Copyright (C) 1999-2015, QOS.ch. All rights reserved."
Org.slf4j:slf4j-api,maven,MIT,Copyright (c) 2004-2022 QOS.ch Sarl (Switzerland)
Org.slf4j:slf4j-simple,maven,MIT,Copyright (c) 2004-2022 QOS.ch Sarl (Switzerland)
Net.jimblackler.jsonschemafriend:core,jitpack,Apache 2.0,
Org.junit.jupiter:junit-jupiter-api,maven,EPL 2.0,
Org.junit.jupiter:junit-jupiter-engine,maven,EPL 2.0,
Com.datadoghq:java-dogstatsd-client,maven,MIT,"Copyright (C) 2012 youDevise, Ltd."
Com.datadoghq:dd-trace-api,maven,Apache 2.0,"Copyright 2017 Datadog, Inc."
Org.antlr:antlr4-runtime,maven,BSD 3-clause,
https://github.com/juli1/java-tree-sitter,Github,MIT,"Copyright (c) 2021 Serenade Labs, Inc."
Org.graalvm.js,maven,MIT/UPL,"Copyright (c) 2019, Oracle and/or its affiliates."
Org.graalvm.js:js-scriptengine,maven,UPL,"Copyright (c) 2019, Oracle and/or its affiliates."
Org.springframework.boot:spring-boot-starter-web,maven,Apache 2.0,
Org.springframework.guice:spring-guice,maven,Apache 2.0,
Org.springframework.boot:spring-boot-starter-test,maven,Apache 2.0,
